Gender,Region,Age Group,Tops,Bottoms,Shoes,Headwear,Accessories
Male,3,4,12669,9656,7561,214,2674
Male,3,4,7057,9810,9568,1762,3293
Male,3,5,6353,8808,7684,2405,3516
Female,3,4,13265,1196,4221,6404,507
Male,3,5,22615,5410,7198,3915,1777
Male,3,4,9413,8259,5126,666,1795
Male,3,2,12126,3199,6975,480,3140
Male,3,5,7579,4956,9426,1669,3321
Female,3,3,5963,3648,6192,425,1716
Male,3,4,6006,11093,18881,1159,7425
Male,3,4,3366,5403,12974,4400,5977
Male,3,2,13146,1124,4523,1420,549
Male,3,5,31714,12319,11757,287,3881
Male,3,2,21217,6208,14982,3095,6707
Male,3,5,24653,9465,12091,294,5058
Female,3,2,10253,1114,3821,397,964
Male,3,3,1020,8816,12121,134,4508
Female,3,5,5876,6157,2933,839,370
Male,3,5,18601,6327,10099,2205,2767
Female,3,2,7780,2495,9464,669,2518
Male,3,4,17546,4519,4602,1066,2259
Female,3,2,5567,871,2010,3383,375
Female,3,5,31276,1917,4469,9408,2381
Male,3,5,26373,36423,22019,5154,4337
Male,3,5,22647,9776,13792,2915,4482
Male,3,1,16165,4230,7595,201,4003
Female,3,3,9898,961,2861,3151,242
Female,3,2,14276,803,3045,485,100
Male,3,5,4113,20484,25957,1158,8604
Female,3,3,43088,2100,2609,1200,1107
Female,3,5,18815,3610,11107,1148,2134
Female,3,3,2612,4339,3133,2088,820
Female,3,2,21632,1318,2886,266,918
Female,3,3,29729,4786,7326,6130,361
Female,3,2,1502,1979,2262,425,483
Male,3,2,688,5491,11091,833,4239
Female,3,5,29955,4362,5428,1729,862
Male,3,3,15168,10556,12477,1920,6506
Male,3,2,4591,15729,16709,33,6956
Female,3,5,56159,555,902,10002,212
Female,3,5,24025,4332,4757,9510,1145
Female,3,5,19176,3065,5956,2033,2575
Male,3,1,10850,7555,14961,188,6899
Male,3,1,630,11095,23998,787,9529
Male,3,1,9670,7027,10471,541,4618
Male,3,5,5181,22044,21531,1740,7353
Male,3,4,3103,14069,21955,1668,6792
Male,3,5,44466,54259,55571,7782,24171
Male,3,4,11519,6152,10868,584,5121
Male,3,3,4967,21412,28921,1798,13583
Female,3,5,6269,1095,1980,3860,609
Female,3,1,3347,4051,6996,239,1538
